Accuracy,NONE,SMOTE,ADASYN,KMeanSMOTE
DT,0.94595,0.94387,0.94371,0.94164
LGBM,0.94236,0.93655,0.93774,0.93603
XGB,0.94138,0.94242,0.93987,0.93805
CAT,0.92829,0.93208,0.9245,0.91739
Soft Voting,0.94776,0.94756,0.94512,0.94449
,,,,
Recall,NONE,SMOTE,ADASYN,KMeanSMOTE
DT,0.94595,0.94387,0.94371,0.94164
LGBM,0.94236,0.93655,0.93774,0.93603
XGB,0.94138,0.94242,0.93987,0.93805
CAT,0.92829,0.93208,0.9245,0.91739
Soft Voting,0.94776,0.94756,0.94512,0.94449
,,,,
Precision,NONE,SMOTE,ADASYN,KMeanSMOTE
DT,0.94611,0.94763,0.94789,0.94473
LGBM,0.94263,0.93987,0.93944,0.93704
XGB,0.94175,0.94357,0.94091,0.93885
CAT,0.92822,0.93412,0.92588,0.91767
Soft Voting,0.94809,0.94967,0.94685,0.94541
,,,,
F1-Score,NONE,SMOTE,ADASYN,KMeanSMOTE
DT,0.9459,0.94483,0.94485,0.94248
LGBM,0.94222,0.9372,0.93808,0.93622
XGB,0.94124,0.94258,0.9401,0.93825
CAT,0.92803,0.9324,0.92474,0.91741
Soft Voting,0.94769,0.94792,0.94551,0.94469
,,,,
AUC,NONE,SMOTE,ADASYN,KMeanSMOTE
DT,0.98401,0.98961,0.98984,0.9904
LGBM,0.99715,0.99668,0.99695,0.9968
XGB,0.99706,0.99715,0.99696,0.99698
CAT,0.99577,0.99591,0.99524,0.99427
Soft Voting,0.99742,0.9974,0.99736,0.9973
